per_code,moe_code,stu_a3,stu_a1,stu_a2,stu_p1,stu_p2,stu_p3,stu_p4,stu_p5,stu_p6,stu_m1,stu_m2,stu_m3,stu_m4,stu_m5,stu_m6,stu_c1,stu_c2,stu_c3,room_a3,room_a1,room_a2,room_p1,room_p2,room_p3,room_p4,room_p5,room_p6,room_m1,room_m2,room_m3,room_m4,room_m5,room_m6,room_c1,room_c2,room_c3,room_real,student_real,room_stand,size_school,room_a3s,room_a1s,room_a2s,room_p1s,room_p2s,room_p3s,room_p4s,room_p5s,room_p6s,room_m1s,room_m2s,room_m3s,room_m4s,room_m5s,room_m6s,room_c1s,room_c2s,room_c3s
310421,1014310421,0,0,0,0,0,0,0,0,0,36,30,13,47,49,31,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,0,0,0,9,206,8,3,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,0,0,0
310422,1014310422,0,0,0,0,0,0,0,0,0,5,14,12,7,9,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,6,52,6,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
310423,1014310423,0,0,0,0,0,0,0,0,0,90,94,96,102,128,82,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,3,0,0,0,20,592,19,5,0,0,0,0,0,0,0,0,0,3,3,3,3,4,3,0,0,0
490403,1016490403,0,0,0,0,0,0,0,0,0,297,268,300,320,307,306,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,0,0,0,48,1798,47,6,0,0,0,0,0,0,0,0,0,8,7,8,8,8,8,0,0,0
490393,1016490393,0,0,0,0,0,0,0,0,0,0,0,0,1023,1008,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,26,0,0,0,78,2981,76,7,0,0,0,0,0,0,0,0,0,0,0,0,26,26,24,0,0,0
490394,1016490394,0,0,0,0,0,0,0,0,0,99,100,107,60,57,48,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,3,3,0,0,0,21,471,15,4,0,0,0,0,0,0,0,0,0,3,3,3,2,2,2,0,0,0
490404,1016490404,0,0,0,0,0,0,0,0,0,96,96,95,144,144,143,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,6,6,6,0,0,0,30,718,21,5,0,0,0,0,0,0,0,0,0,3,3,3,4,4,4,0,0,0
490396,1016490396,0,0,0,0,0,0,0,0,0,87,86,103,63,82,68,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,18,489,16,4,0,0,0,0,0,0,0,0,0,3,3,3,2,3,2,0,0,0
490397,1016490397,0,0,0,0,0,0,0,0,0,550,540,551,380,352,374,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,10,10,10,0,0,0,72,2747,71,7,0,0,0,0,0,0,0,0,0,14,14,14,10,9,10,0,0,0
490398,1016490398,0,0,0,0,0,0,0,0,0,13,19,11,6,4,15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,6,68,6,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
490395,1016490395,0,0,0,0,0,0,0,0,0,108,112,107,65,60,53,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,3,4,0,0,0,22,505,15,5,0,0,0,0,0,0,0,0,0,3,3,3,2,2,2,0,0,0
490408,1016490408,0,0,0,0,0,0,0,0,0,127,136,110,124,88,81,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,3,3,0,0,0,21,666,21,5,0,0,0,0,0,0,0,0,0,4,4,3,4,3,3,0,0,0
490409,1016490409,0,0,0,0,0,0,0,0,0,34,47,45,39,19,23,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,1,0,0,0,9,207,8,3,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,0,0,0
490410,1016490410,0,0,0,0,0,0,0,0,0,306,333,331,242,238,245,0,0,0,0,0,0,0,0,0,0,0,0,8,9,9,7,7,7,0,0,0,47,1695,46,6,0,0,0,0,0,0,0,0,0,8,9,9,7,6,7,0,0,0
490411,1016490411,0,0,0,0,0,0,0,0,0,66,56,79,41,47,44,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,18,333,12,4,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0
490412,1016490412,0,0,0,0,0,0,0,0,0,52,55,58,17,15,21,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,1,1,0,0,0,12,218,9,3,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,0,0,0
490400,1016490400,0,0,0,0,0,0,0,0,0,194,218,212,358,323,249,0,0,0,0,0,0,0,0,0,0,0,0,6,7,6,10,9,8,0,0,0,46,1554,42,6,0,0,0,0,0,0,0,0,0,5,6,6,9,9,7,0,0,0
490405,1016490405,0,0,0,0,0,0,0,0,0,438,514,530,371,381,392,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,10,10,10,0,0,0,72,2626,68,7,0,0,0,0,0,0,0,0,0,11,13,14,10,10,10,0,0,0
490401,1016490401,0,0,0,0,0,0,0,0,0,64,72,72,45,43,54,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,2,2,0,0,0,15,350,12,4,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0
490406,1016490406,0,0,0,0,0,0,0,0,0,124,134,168,92,94,88,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,4,3,4,0,0,0,26,700,22,5,0,0,0,0,0,0,0,0,0,4,4,5,3,3,3,0,0,0
490402,1016490402,0,0,0,0,0,0,0,0,0,31,18,39,26,6,15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,6,135,6,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
490407,1016490407,0,0,0,0,0,0,0,0,0,22,21,33,25,29,23,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,2,2,0,0,0,11,153,6,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
490414,1016490414,0,0,0,0,0,0,0,0,0,138,151,125,125,82,90,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,3,3,0,0,0,21,711,22,5,0,0,0,0,0,0,0,0,0,4,4,4,4,3,3,0,0,0
490415,1016490415,0,0,0,0,0,0,0,0,0,62,62,61,51,37,47,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,2,0,0,0,16,320,11,4,0,0,0,0,0,0,0,0,0,2,2,2,2,1,2,0,0,0
490416,1016490416,0,0,0,0,0,0,0,0,0,113,103,120,134,80,91,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,3,3,0,0,0,19,641,18,5,0,0,0,0,0,0,0,0,0,3,3,3,4,2,3,0,0,0
490417,1016490417,0,0,0,0,0,0,0,0,0,37,30,41,30,16,39,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,0,0,0,9,193,7,2,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,0,0,0
490418,1016490418,0,0,0,0,0,0,0,0,0,89,79,110,109,88,69,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,3,4,0,0,0,20,544,16,5,0,0,0,0,0,0,0,0,0,3,2,3,3,3,2,0,0,0
490419,1016490419,0,0,0,0,0,0,0,0,0,180,192,196,122,81,96,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,4,3,3,0,0,0,28,867,25,5,0,0,0,0,0,0,0,0,0,5,5,5,4,3,3,0,0,0
670164,1015670164,0,0,0,0,0,0,0,0,0,111,95,105,109,80,96,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,18,596,17,5,0,0,0,0,0,0,0,0,0,3,3,3,3,2,3,0,0,0
670168,1015670168,0,0,0,0,0,0,0,0,0,77,86,76,67,77,72,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,3,2,0,0,0,16,455,13,4,0,0,0,0,0,0,0,0,0,2,3,2,2,2,2,0,0,0
670170,1015670170,0,0,0,0,0,0,0,0,0,321,246,309,224,219,200,0,0,0,0,0,0,0,0,0,0,0,0,8,7,8,6,6,6,0,0,0,41,1519,41,6,0,0,0,0,0,0,0,0,0,9,7,8,6,6,5,0,0,0
670160,1015670160,0,0,0,0,0,0,0,0,0,532,539,536,420,396,398,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,11,11,11,0,0,0,75,2821,73,7,0,0,0,0,0,0,0,0,0,14,14,14,11,10,10,0,0,0
670163,1015670163,0,0,0,0,0,0,0,0,0,53,44,36,34,14,33,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,12,214,8,3,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,0,0,0
670165,1015670165,0,0,0,0,0,0,0,0,0,27,27,36,38,31,30,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,0,0,0,10,189,6,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
670167,1015670167,0,0,0,0,0,0,0,0,0,15,14,21,12,10,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,6,77,6,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
